 Spacecraft : ALS2A               
 Pass plan from 2020/10/06 12:00:00.000 to 2020/10/14 00:00:00.000
 
 ******************************************************************************************
 Beginning                End                      Duration (s)  Station(s)
 ******************************************************************************************
 2020/10/06 19:10:24.684  2020/10/06 19:19:50.860   566.2        A2OUAR + A2ORAN
 2020/10/06 20:46:13.384  2020/10/06 20:58:28.645   735.3        A2OUAR + A2ORAN
 2020/10/07 08:45:05.534  2020/10/07 08:56:53.197   707.7        A2ORAN + A2OUAR
 2020/10/07 10:22:42.396  2020/10/07 10:31:56.895   554.5        A2ORAN + A2OUAR
 2020/10/07 19:42:26.530  2020/10/07 19:54:09.924   703.4        A2OUAR + A2ORAN
 2020/10/07 21:20:44.010  2020/10/07 21:31:20.346   636.3        A2OUAR + A2ORAN
 2020/10/08 07:43:09.046  2020/10/08 07:51:07.115   478.1        A2OUAR + A2ORAN
 2020/10/08 09:18:06.888  2020/10/08 09:29:53.654   706.8        A2ORAN + A2OUAR
 2020/10/08 10:57:24.676  2020/10/08 11:02:58.012   333.3        A2ORAN
 2020/10/08 18:42:19.101  2020/10/08 18:46:49.567   270.5        A2OUAR
 2020/10/08 20:15:19.132  2020/10/08 20:27:51.373   752.2        A2OUAR + A2ORAN
 2020/10/08 21:56:02.031  2020/10/08 22:03:25.523   443.5        A2ORAN
 2020/10/09 08:15:14.186  2020/10/09 08:25:51.136   637.0        A2ORAN + A2OUAR
 2020/10/09 09:51:33.305  2020/10/09 10:02:20.674   647.4        A2ORAN + A2OUAR
 2020/10/09 19:12:55.880  2020/10/09 19:22:38.925   583.0        A2OUAR + A2ORAN
 2020/10/09 20:48:57.355  2020/10/09 21:01:07.857   730.5        A2OUAR + A2ORAN
 2020/10/10 08:47:43.258  2020/10/10 08:59:33.675   710.4        A2ORAN + A2OUAR
 2020/10/10 10:25:27.197  2020/10/10 10:34:28.922   541.7        A2ORAN + A2OUAR
 2020/10/10 19:45:02.775  2020/10/10 19:56:53.338   710.6        A2OUAR + A2ORAN
 2020/10/10 21:23:34.353  2020/10/10 21:33:56.700   622.3        A2OUAR + A2ORAN
 2020/10/11 07:45:40.533  2020/10/11 07:53:58.295   497.8        A2OUAR + A2ORAN
 2020/10/11 09:20:46.920  2020/10/11 09:32:30.203   703.3        A2ORAN + A2OUAR
 2020/10/11 11:00:18.144  2020/10/11 11:05:19.411   301.3        A2ORAN
 2020/10/11 18:44:37.473  2020/10/11 18:49:46.225   308.8        A2OUAR
 2020/10/11 20:17:59.229  2020/10/11 20:30:32.401   753.2        A2OUAR + A2ORAN
 2020/10/11 21:58:55.827  2020/10/11 22:05:55.191   419.4        A2ORAN
 2020/10/12 08:17:48.153  2020/10/12 08:28:35.384   647.2        A2ORAN + A2OUAR
 2020/10/12 09:54:15.386  2020/10/12 10:04:56.784   641.4        A2ORAN + A2OUAR
 2020/10/12 19:15:27.522  2020/10/12 19:25:26.194   598.7        A2OUAR + A2ORAN
 2020/10/12 20:51:41.606  2020/10/12 21:03:46.732   725.1        A2OUAR + A2ORAN
 2020/10/13 08:50:21.086  2020/10/13 09:02:13.684   712.6        A2ORAN + A2OUAR
 2020/10/13 10:28:12.205  2020/10/13 10:37:00.325   528.1        A2ORAN + A2OUAR
 2020/10/13 19:47:39.257  2020/10/13 19:59:36.367   717.1        A2OUAR + A2ORAN
 2020/10/13 21:26:25.432  2020/10/13 21:36:32.591   607.2        A2OUAR + A2ORAN
