 Spacecraft : ALS2B               
 Pass plan from 2020/10/01 12:00:00.000 to 2020/10/09 00:00:00.000
 
 ******************************************************************************************
 Beginning                End                      Duration (s)  Station(s)
 ******************************************************************************************
 2020/10/01 20:17:41.506  2020/10/01 20:24:53.725   432.2        A2ORAN
 2020/10/01 21:52:13.846  2020/10/01 22:03:29.154   675.3        A2ORAN
 2020/10/02 09:50:07.606  2020/10/02 10:00:50.584   643.0        A2ORAN
 2020/10/02 11:27:43.577  2020/10/02 11:36:58.494   554.9        A2ORAN
 2020/10/02 20:49:15.717  2020/10/02 20:59:13.254   597.5        A2ORAN
 2020/10/02 22:26:08.613  2020/10/02 22:36:21.925   613.3        A2ORAN
 2020/10/03 08:49:35.533  2020/10/03 08:52:41.128   185.6        A2ORAN
 2020/10/03 10:23:10.384  2020/10/03 10:34:29.505   679.1        A2ORAN
 2020/10/03 12:02:26.701  2020/10/03 12:08:01.933   335.2        A2ORAN
 2020/10/03 21:21:46.554  2020/10/03 21:32:55.763   669.2        A2ORAN
 2020/10/03 23:01:07.795  2020/10/03 23:08:27.676   439.9        A2ORAN
 2020/10/04 09:20:20.031  2020/10/04 09:29:12.167   532.1        A2ORAN
 2020/10/04 10:56:38.181  2020/10/04 11:07:25.675   647.5        A2ORAN
 2020/10/04 20:20:14.845  2020/10/04 20:27:46.512   451.7        A2ORAN
 2020/10/04 21:55:00.382  2020/10/04 22:06:13.422   673.0        A2ORAN
 2020/10/05 09:52:50.426  2020/10/05 10:03:39.330   648.9        A2ORAN
 2020/10/05 11:30:33.326  2020/10/05 11:39:35.824   542.5        A2ORAN
 2020/10/05 20:51:55.132  2020/10/05 21:02:01.599   606.5        A2ORAN
 2020/10/05 22:28:59.314  2020/10/05 22:39:03.378   604.1        A2ORAN
 2020/10/06 08:51:52.973  2020/10/06 08:55:58.059   245.1        A2ORAN
 2020/10/06 10:25:55.459  2020/10/06 10:37:14.421   679.0        A2ORAN
 2020/10/06 12:05:24.786  2020/10/06 12:10:28.992   304.2        A2ORAN
 2020/10/06 21:24:29.753  2020/10/06 21:35:41.790   672.0        A2ORAN
 2020/10/06 23:04:06.559  2020/10/06 23:11:02.470   415.9        A2ORAN
 2020/10/07 09:22:59.128  2020/10/07 09:32:05.770   546.6        A2ORAN
 2020/10/07 10:59:25.254  2020/10/07 11:10:06.970   641.7        A2ORAN
 2020/10/07 20:22:48.779  2020/10/07 20:30:38.549   469.8        A2ORAN
 2020/10/07 21:57:47.077  2020/10/07 22:08:57.342   670.3        A2ORAN
 2020/10/08 09:55:33.320  2020/10/08 10:06:27.568   654.2        A2ORAN
 2020/10/08 11:33:23.240  2020/10/08 11:42:12.525   529.3        A2ORAN
 2020/10/08 20:54:34.753  2020/10/08 21:04:49.563   614.8        A2ORAN
 2020/10/08 22:31:50.305  2020/10/08 22:41:44.352   594.0        A2ORAN
