 Spacecraft : ALS2A               
 Pass plan from 2020/09/26 12:00:00.000 to 2020/10/04 00:00:00.000
 
 ******************************************************************************************
 Beginning                End                      Duration (s)  Station(s)
 ******************************************************************************************
 2020/09/26 20:06:15.415  2020/09/26 20:17:07.354   651.9        A2ORAN
 2020/09/26 21:44:39.126  2020/09/26 21:53:19.642   520.5        A2ORAN
 2020/09/27 08:05:06.229  2020/09/27 08:12:47.234   461.0        A2ORAN
 2020/09/27 09:40:48.780  2020/09/27 09:51:54.853   666.1        A2ORAN
 2020/09/27 19:05:27.507  2020/09/27 19:11:24.379   356.9        A2ORAN
 2020/09/27 20:39:13.050  2020/09/27 20:50:32.360   679.3        A2ORAN
 2020/09/28 08:37:16.431  2020/09/28 08:47:38.113   621.7        A2ORAN
 2020/09/28 10:14:32.392  2020/09/28 10:24:20.499   588.1        A2ORAN
 2020/09/28 19:36:36.463  2020/09/28 19:46:00.834   564.4        A2ORAN
 2020/09/28 21:12:53.713  2020/09/28 21:23:31.993   638.3        A2ORAN
 2020/09/29 09:10:10.509  2020/09/29 09:21:27.601   677.1        A2ORAN
 2020/09/29 10:48:55.664  2020/09/29 10:55:46.557   410.9        A2ORAN
 2020/09/29 20:08:52.970  2020/09/29 20:19:49.941   657.0        A2ORAN
 2020/09/29 21:47:29.901  2020/09/29 21:55:53.437   503.5        A2ORAN
 2020/09/30 08:07:38.424  2020/09/30 08:15:39.855   481.4        A2ORAN
 2020/09/30 09:43:30.948  2020/09/30 09:54:33.080   662.1        A2ORAN
 2020/09/30 19:07:52.760  2020/09/30 19:14:15.840   383.1        A2ORAN
 2020/09/30 20:41:54.186  2020/09/30 20:53:12.828   678.6        A2ORAN
 2020/10/01 08:39:54.050  2020/10/01 08:50:23.694   629.6        A2ORAN
 2020/10/01 10:17:17.001  2020/10/01 10:26:54.558   577.6        A2ORAN
 2020/10/01 19:39:10.012  2020/10/01 19:48:45.733   575.7        A2ORAN
 2020/10/01 21:15:38.787  2020/10/01 21:26:09.923   631.1        A2ORAN
 2020/10/02 09:12:50.683  2020/10/02 09:24:09.024   678.3        A2ORAN
 2020/10/02 10:51:45.835  2020/10/02 10:58:13.137   387.3        A2ORAN
 2020/10/02 20:11:30.714  2020/10/02 20:22:32.194   661.5        A2ORAN
 2020/10/02 21:50:21.324  2020/10/02 21:58:26.440   485.1        A2ORAN
 2020/10/03 08:10:11.248  2020/10/03 08:18:31.409   500.2        A2ORAN
 2020/10/03 09:46:13.151  2020/10/03 09:57:10.831   657.7        A2ORAN
 2020/10/03 19:10:19.127  2020/10/03 19:17:06.054   406.9        A2ORAN
 2020/10/03 20:44:35.491  2020/10/03 20:55:52.961   677.5        A2ORAN
