 Spacecraft : ALS2A               
 Pass plan from 2020/09/29 12:00:00.000 to 2020/10/07 00:00:00.000
 
 ******************************************************************************************
 Beginning                End                      Duration (s)  Station(s)
 ******************************************************************************************
 2020/09/29 20:08:51.603  2020/09/29 20:19:48.456   656.9        A2ORAN
 2020/09/29 21:47:28.392  2020/09/29 21:55:52.017   503.6        A2ORAN
 2020/09/30 08:07:36.993  2020/09/30 08:15:38.127   481.1        A2ORAN
 2020/09/30 09:43:29.379  2020/09/30 09:54:31.507   662.1        A2ORAN
 2020/09/30 19:07:51.363  2020/09/30 19:14:14.051   382.7        A2ORAN
 2020/09/30 20:41:52.583  2020/09/30 20:53:11.161   678.6        A2ORAN
 2020/10/01 08:39:52.349  2020/10/01 08:50:21.845   629.5        A2ORAN
 2020/10/01 10:17:15.195  2020/10/01 10:26:52.844   577.6        A2ORAN
 2020/10/01 19:39:08.325  2020/10/01 19:48:43.820   575.5        A2ORAN
 2020/10/01 21:15:36.934  2020/10/01 21:26:08.080   631.1        A2ORAN
 2020/10/02 09:12:48.749  2020/10/02 09:24:07.030   678.3        A2ORAN
 2020/10/02 10:51:43.746  2020/10/02 10:58:11.334   387.6        A2ORAN
 2020/10/02 20:11:28.774  2020/10/02 20:22:30.112   661.3        A2ORAN
 2020/10/02 21:50:19.187  2020/10/02 21:58:24.462   485.3        A2ORAN
 2020/10/03 08:10:09.240  2020/10/03 08:18:29.077   499.8        A2ORAN
 2020/10/03 09:46:10.981  2020/10/03 09:57:08.698   657.7        A2ORAN
 2020/10/03 19:10:17.187  2020/10/03 19:17:03.648   406.5        A2ORAN
 2020/10/03 20:44:33.297  2020/10/03 20:55:50.707   677.4        A2ORAN
 2020/10/04 08:42:29.510  2020/10/04 08:53:06.271   636.8        A2ORAN
 2020/10/04 10:19:59.325  2020/10/04 10:29:25.768   566.4        A2ORAN
 2020/10/04 19:41:41.597  2020/10/04 19:51:27.673   586.1        A2ORAN
 2020/10/04 21:18:21.661  2020/10/04 21:28:45.000   623.3        A2ORAN
 2020/10/05 09:15:28.360  2020/10/05 09:26:47.403   679.0        A2ORAN
 2020/10/05 10:54:34.163  2020/10/05 11:00:36.034   361.9        A2ORAN
 2020/10/05 20:14:06.106  2020/10/05 20:25:11.430   665.3        A2ORAN
 2020/10/05 21:53:10.715  2020/10/05 22:00:55.996   465.3        A2ORAN
 2020/10/06 08:12:42.009  2020/10/06 08:21:19.063   517.1        A2ORAN
 2020/10/06 09:48:52.613  2020/10/06 09:59:45.409   652.8        A2ORAN
 2020/10/06 19:12:43.901  2020/10/06 19:19:52.216   428.3        A2ORAN
 2020/10/06 20:47:14.180  2020/10/06 20:58:29.909   675.7        A2ORAN
