 Spacecraft : ALS2B               
 Pass plan from 2020/09/26 12:00:00.000 to 2020/10/04 00:00:00.000
 
 ******************************************************************************************
 Beginning                End                      Duration (s)  Station(s)
 ******************************************************************************************
 2020/09/26 20:43:57.621  2020/09/26 20:53:35.387   577.8        A2ORAN
 2020/09/26 22:20:28.033  2020/09/26 22:30:57.714   629.7        A2ORAN
 2020/09/27 10:17:40.327  2020/09/27 10:28:58.371   678.0        A2ORAN
 2020/09/27 11:56:34.517  2020/09/27 12:03:02.524   388.0        A2ORAN
 2020/09/27 21:16:20.659  2020/09/27 21:27:22.787   662.1        A2ORAN
 2020/09/27 22:55:13.134  2020/09/27 23:03:14.821   481.7        A2ORAN
 2020/09/28 09:15:03.055  2020/09/28 09:23:22.589   499.5        A2ORAN
 2020/09/28 10:51:04.199  2020/09/28 11:02:01.757   657.6        A2ORAN
 2020/09/28 20:15:08.967  2020/09/28 20:22:00.170   411.2        A2ORAN
 2020/09/28 21:49:27.561  2020/09/28 22:00:44.647   677.1        A2ORAN
 2020/09/29 09:47:24.982  2020/09/29 09:58:01.440   636.5        A2ORAN
 2020/09/29 11:24:54.106  2020/09/29 11:34:20.670   566.6        A2ORAN
 2020/09/29 20:46:36.654  2020/09/29 20:56:24.650   588.0        A2ORAN
 2020/09/29 22:23:18.318  2020/09/29 22:33:40.152   621.8        A2ORAN
 2020/09/30 10:20:25.476  2020/09/30 10:31:44.293   678.8        A2ORAN
 2020/09/30 11:59:30.209  2020/09/30 12:05:33.117   362.9        A2ORAN
 2020/09/30 21:19:03.664  2020/09/30 21:30:09.579   665.9        A2ORAN
 2020/09/30 22:58:10.204  2020/09/30 23:05:51.880   461.7        A2ORAN
 2020/10/01 09:17:41.478  2020/10/01 09:26:17.967   516.5        A2ORAN
 2020/10/01 10:53:51.332  2020/10/01 11:04:44.098   652.8        A2ORAN
 2020/10/01 20:17:41.696  2020/10/01 20:24:53.942   432.2        A2ORAN
 2020/10/01 21:52:14.057  2020/10/01 22:03:29.367   675.3        A2ORAN
 2020/10/02 09:50:07.833  2020/10/02 10:00:50.821   643.0        A2ORAN
 2020/10/02 11:27:43.821  2020/10/02 11:36:58.715   554.9        A2ORAN
 2020/10/02 20:49:15.954  2020/10/02 20:59:13.512   597.6        A2ORAN
 2020/10/02 22:26:08.871  2020/10/02 22:36:22.173   613.3        A2ORAN
 2020/10/03 08:49:35.726  2020/10/03 08:52:41.476   185.7        A2ORAN
 2020/10/03 10:23:10.652  2020/10/03 10:34:29.776   679.1        A2ORAN
 2020/10/03 12:02:27.002  2020/10/03 12:08:02.170   335.2        A2ORAN
 2020/10/03 21:21:46.836  2020/10/03 21:32:56.054   669.2        A2ORAN
 2020/10/03 23:01:08.107  2020/10/03 23:08:27.951   439.8        A2ORAN
